pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,36,3,147,3,,,,,386.7548557999835,,386.74532309998176,386.7548557999835,387.75448459998006,387.75448459998006,387.75448459998006,387.75448459998006,387.75448459998006,388.753976899985,388.753976899985,389.0766567999963,z,1,0.2897047000005841,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,37,0,148,0,,,,,389.08731350000016,,389.07825369999046,389.08731350000016,390.0878085999866,390.0878085999866,390.0878085999866,390.0878085999866,390.0878085999866,391.0868552000029,391.0868552000029,391.3765752000036,x,1,0.2601093999983277,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,37,1,149,1,,,,,391.3875678999757,,391.37824579997687,391.3875678999757,392.3864076999889,392.3864076999889,392.3864076999889,392.3864076999889,392.3864076999889,393.38724429998547,393.38724429998547,393.6764389000018,v,1,0.2839662999904249,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,37,2,150,2,,,,,393.687707199977,,393.67813729998306,393.687707199977,394.6872689999873,394.6872689999873,394.6872689999873,394.6872689999873,394.6872689999873,395.6872430999938,395.6872430999938,396.0588818999822,c,1,0.34336649999022484,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,37,3,151,3,,,,,396.07063939998625,,396.06045979997725,396.07063939998625,397.070570699987,397.070570699987,397.070570699987,397.070570699987,397.070570699987,398.07016459997976,398.07016459997976,398.44346089998726,z,1,0.36538419997668825,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,38,0,152,0,,,,,398.4536017999926,,398.4450524999993,398.4536017999926,399.4540619000036,399.4540619000036,399.4540619000036,399.4540619000036,399.4540619000036,400.46885959999054,400.46885959999054,401.0434233999986,x,1,0.5683530000096653,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,38,1,153,1,,,,,401.05380429999786,,401.0449288999953,401.05380429999786,402.05384049998247,402.05384049998247,402.05384049998247,402.05384049998247,402.05384049998247,403.0537700999994,403.0537700999994,403.4761847000045,v,1,0.4170104000077117,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,38,2,154,2,,,,,403.48709169999347,,403.4776698999922,403.48709169999347,404.4870214999828,404.4870214999828,404.4870214999828,404.4870214999828,404.4870214999828,405.4866069999989,405.4866069999989,406.0104662999802,c,1,0.5192168999928981,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,38,3,155,3,,,,,406.0200915999885,,406.012064599985,406.0200915999885,407.0203673999931,407.0203673999931,407.0203673999931,407.0203673999931,407.0203673999931,408.0195128999767,408.0195128999767,408.5766783999861,z,1,0.5483370000147261,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,39,0,156,0,,,,,408.58683769998606,,408.57830369999283,408.58683769998606,409.58595569999306,409.58595569999306,409.58595569999306,409.58595569999306,409.58595569999306,410.58618699997896,410.58618699997896,411.05889580000076,x,1,0.4399666999815963,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
